номер,тема
37,Расстановка сил в системах с действиями сил под углами; Угол в 30 градусов в статических задачах
38,Центр тяжести систем точечных объектов; Центр тяжести систем однородных стержней; Центр тяжести плоских прямоугольных фигур
39,Центр тяжести плоского треугольника и плоских многоугольников; Центр тяжести фигур с вырезами
40,Давление твердых тел
41,"Гидростатическое давление; Зависимость гидростатического давления жидкости от глубины погружения. Давление в жидкости (с учётом внешнего давления). Столб Торичелли; Поиск давлений жидкости на разной глубине в сосудах, заполненных однородной жидкостью; Поиск давлений в системах трубок полостями и воздушными пробками; Давление в жидкостях с градиентом плотности"
42,Закон Паскаля; Задачи о давлении на дно сосудов конических форм; Расчет сил давления через среднее давление; Расчет сил давление через проекцию площади на плоскость перпендикулярную направлению расчета силы
43,Сообщающиеся сосуды; Изменение уровней в сообщающихся сосудах; П-образные перемычки в сообщающихся сосудах; Сифон
44,Наклонные перемычки в сообщающихся сосудах; Воздушные пробки в сообщающихся сосудах; Две перемычки в сообщающихся сосудах
45,"Гидравлический пресс; Гидравлические машины; Сохранение объема (несжимаемость жидкости); Силы давления на поршни; Качественные задачи о сжатии воздуха; Пневматические машины; Трение, пружины и рычаги в задачах с поршнями"
46,Изменение уровня жидкости в одном сосуде; Изменение уровня жидкости в связанных сосудах
47,Действие жидкости и газа на погруженное в них тело; Выталкивающая (архимедова) сила; Закон Архимеда; Плавание тел; Воздухоплавание; Простейшие задачи на применение формулы для силы Архимеда; Плавание неоднородных (составных или с полостями) тел; Пограничное плавание; Плавание в неоднородной жидкости и в системе несмешивающихся жидкостей;
48,Сила Архимеда при отсутствии подтекания вдоль одной грани тела; Давление твердых тел в жидкости на дно в случае неподтекания; Условие начала подтекания в симметричных случаях; Поиск сил давления жидкости на некоторую поверхность через ее массу
49,Применение уравнения моментов в гидростатических задачах; Условие начала подтекания в несимметричных случаях; Задачи о распределении силы давления на дно сосуда; Эквивалентная замена подвешенной на рычаг в двух точках цепочки
50,Точка приложения силы Архимеда; Устойчивость плавания
51,Тепловое расширение в задачах 7 класса и другие уникальные задачи
52,"Механическая работа для сил, направленных вдоль перемещения материальной точки; Постоянная и переменная силы; Средняя сила; Связь изменения кинетической энергии и работы; Вычисление работы через площадь под графиком зависимости силы от перемещения"
53,Потенциальная энергия пружины; Потенциальная энергия в поле тяжести Земли; Работа силы трения; потенциальная энергия шнуров/цепочек
54,"Мощность; Вычисление работы через площадь под графиком мощности от времени; Формула для мощности силы; КПД; ЗСЭ; КПД в механических системах; Простые механизмы: рычаг, ворот, блок, полиспаст, наклонная плоскость, ножничный механизм; «Золотое правило» механики; КПД простых механизмов;"
55,ЗСЭ для расчета сил в различных механических системах; Метод виртуальных перемещений. Шарниры.; Силы натяжения в цепях и веревках
56,"Элементы молекулярно-кинетической теории строения вещества; Газы, жидкости и твёрдые тела; Температура; Связь температуры со средней кинетической энергией теплового движения частиц (на качественном уровне); Тепловое объёмное и линейное расширение и сжатие; Коэффициент теплового объёмного и линейного расширения; Измерение температуры; Термометр; Температурные шкалы;"
57,"Теоретическая справка; Внутренняя энергия; Способы изменения внутренней энергии: теплопередача и совершение работы; Виды теплопередачи: теплопроводность, конвекция, излучение; Тепловое равновесие; Температура; Количество теплоты; Теплоемкость; Удельная теплоемкость; Простое нагревание без фазового перехода; Сравнение механической и тепловой энергий"
58,Тепловой баланс без фазового перехода для двух частей при разных температурах; Тепловой баланс без фазового перехода для более чем двух частей при разных температурах; Уравнение теплового баланса без внешних источников теплоты
59,Задачи о сгорании топлива; Понятие мощности и КПД; Задачи о потоке тепла жидкости (нагрев батареей); Уравнение теплового баланса с внешними источниками теплоты
60,Графические задачи о теплоте без фазовых переходов; Задачи о зависимости теплоемкости от температуры
61,Задачи о нескольких итерациях теплообмена без фазового перехода с установлением промежуточного теплового баланса и без; Задачи о переливаниях между тремя и более сосудами
62,Теоретическая справка. Понятие фазы. Фазовые переходы. Теплота фазового перехода.; Простейший расчет количества теплоты при фазовом переходе; Тепловой баланс с известной конечной температурой
63,Поиск температуры при тепловом балансе с фазовыми переходами; Процентное содержание разных фаз в смеси
64,Мощность в процессах с фазовым переходом; Потоки тепла в задачах с фазовыми переходами
65,"Насыщенный и ненасыщенный пар (на качественном уровне); Влажность воздуха (на качественном уровне);
Зависимость температуры кипения от атмосферного давления (на качественном уровне);
Переохлажденная жидкость; Перегретая жидкость; Возгонка; Задачи о теплоте растворения; Зависимость теплоты плавления и теплоты растворения от температуры;"
66,"Тепло и статика/гидростатика; Тепловые задачи с фазовым переходом, требующие учета изменения объема воды при фазовом переходе"
67,Графические задачи с фазовыми переходами
68,Теоретическая справка о теплопотерях; Скорость остывания от температуры; Максимальная температура нагрева; Мощность нагрева как разность мощности нагревателя и мощности потерь; Уравнение теплового баланса с учётом подведённого количества теплоты и тепловых потерь; Закон сохранения и превращения энергии в механических и тепловых процессах;
69,Установившаяся температура от количества нагревателей; Передача тепла через промежуточные предметы
70,"Закон Ньютона – Рихмана; Мощности теплопотерь и потоки тепла, связанные с массопереносом; Подобия в задачах о теплопотерях"
71,Графические задачи о тепловых потерях
72,"Первое начало для холодильника; Включение и отключение холодильника; КПД теплового двигателя; Принцип работы тепловых двигателей (основные понятия, без формул);"
73,Теплопроводность; Закон Фурье для однородного стержня; Поиск температуры в системе соединенных теплопроводящих стержней; Зависимость мощности теплопередачи от толщины стенки; Зависимость теплопроводности от разности температур
74,Теплопроводность и теплопотери одновременно; Теплообменники; Сложные задачи на тепловые явления
75,Строение атома; Носители электрических зарядов; Элементарный электрический заряд; Дискретность электрического заряда; Электризация тел; Два рода электрических зарядов; Закон сохранения электрического заряда; Взаимодействие заряженных тел; Закон Кулона (без формулы); Электрическое поле; Напряжённость электрического поля; Принцип суперпозиции электрических полей (на качественном уровне); Потенциал электрического поля;
76,"Электрический ток; Действия электрического тока (тепловое, химическое, магнитное); Электрическая цепь, её элементы; 
Условия существования электрического тока; Электрический ток в металлах, жидкостях и газах; Источники тока;
Сила тока; Сопротивление проводника; Удельное сопротивление вещества; 
Формула удельного сопротивления; Связь силы тока и дрейфовой скорости; Расчет последовательного и параллельного соединения резисторов. Устройство реостата;"
77,"Электрическое напряжение и разность потенциалов; Закон Ома для однородного участка цепи; ЭДС и внутреннее сопротивление источника тока; Идеальный источник, простейшая модель неидеального источника; короткое замыкание и напряжение холостого хода; поиск распределения силы тока и напряжения в последовательном и параллельном соединениях; поиск напряжений и токов в цепях с индексными сопротивлениями; Сбалансированный мост; Смешанное соединение проводников; Распределение тока и напряжения в разветвлённой электрической цепи;"
78,Расстановка токов в цепях с указанными соотношениями сопротивлений; Поиск сопротивления в цепях с последовательным и параллельным соединением проводников с указанными соотношениями сопротивлений; Поиск диапазона сопротивлений цепи в цепях с реостатом; Деление напряжения между резисторами в схеме
79,Симметричные плоские сетки с мостами; Симметричные плоские схемы с возможностью разрыва узлов
80,Симметричные сетки 3D
81,Несимметричное подключение к симметричным цепям; Метод тряпочки и метод наложения цепей; Подвижные контакты в симметричных цепях
82,Правила Кирхгофа для расчета сопротивлений; Метод узловых потенциалов. Несбалансированный мост.; Диагональные симметрии в мостиковых схемах.
83,Звезда в треугольник; Черные ящики с резисторами
84,Перемычки в обычных цепях; Цепи с перекрестиями проводников без их соединения; Перемычки в симметричных цепях
85,"Устройство стрелочных приборов; Гальванометр; Идеальные приборы, не влияющие на поведение цепи; Цепи только с амперметрами или вольтметрами"
86,Идеальный амперметр как перемычка; Вольтметр и резистор в цепи последовательно; Изменение показаний приборов при изменении параметров цепи
87,"Шунтовое и добавочное сопротивления; Расширение диапазонов приборов; Неидеальные приборы, когда приборы надо рассматривать как резисторы, без пренебрежения разными элементами цепи"
88,"Задачи, в которых в одной части приборы считаются идеальными, а в другой части считаются неидеальными"
89,Классические бесконечные цепи; Бесконечные цепи с кратным уменьшением/увеличением сопротивления звеньев
90,"Двумерные и трехмерные бесконечные сетки; Бесконечные цепи, требующие в решении методов решения, не относящихся к простой замене какой-то части цепи общим сопротивлением"
91,ЭДС и внутреннее сопротивление источника тока; Закон Ома для замкнутой цепи; Короткое замыкание и напряжение холостого хода; Цепи с несколькими источниками. Законы Кирхгофа; Цепи с несколькими источниками. Задачи с удобным решением через метод узловых потенциалов; Метод контурных токов
92,Эквивалентный источник; Бесконечные цепи с источниками питания
93,Показания омметра с одним омметром; Показания омметра с несколькими омметрами
94,Закон Джоуля-Ленца; Устройство нагревательных приборов; Простой расчет выделения мощности в резисторах; Расчет сопротивлений по номинальной мощности
95,Поиски максимума/минимума выделяемой мощности в зависимости от параметров цепи.; Мощность в источнике; Электрическая мощность и тепловые задачи
96,Температурный коэффициент сопротивления; Мощность и температурный коэффициент сопротивления; Устойчивость нагревания
97,Теоретическая справка о ВАХ. Качественные задачи на сложения ВАХ. Разгадка схемы ЧЯ по ВАХ.
98,Количественные задачи на сложения ВАХ
99,Нагрузочные прямые; Нагрузочные кривые
100,Задачи с диодами на аналитическое решение
101,Дифференциальные и статическое сопротивления; Нелинейные элементы с заданными аналитически ВАХ
102,Тепловыделение на нелинейных элементах
103,"Постоянные магниты; Взаимодействие постоянных магнитов; Магнитное поле; Магнитное поле Земли и его значение для жизни на Земле; Опыт Эрстеда; Магнитное поле электрического тока; Опыт Ампера; Электромагнит, электромагнитное реле; Действие магнитного поля на проводник с током; Сила Ампера и определение её направления; Электродвигатель постоянного тока; Опыты Фарадея; Явление электромагнитной индукции; Правило Ленца; Электрогенератор; Способы получения электрической энергии; Электростанции на возобновляемых источниках энергии;"
104,Первоначальные сведения об оптике. Роль геометрической оптики в оптике. Источники света. Лучевая модель света. Закон прямолинейного распространения света. Принцип независимости световых пучков. Измерения на местности. Угловой размер объектов. Тень и полутень. Задачи на построение тень и полутень; Простые расчетные задачи на тень и полутень
105,Задачи о тени в 3D; Затмения Солнца и Луны. Камера обскура; Задачи о фотографиях или видимом глазом изображении
106,Закон отражения света. Задачи о построении в плоских зеркалах; Формирование изображения; Область видимости изображения; Задачи о построениях в плоских зеркалах и тенях; Расчетные задачи на отражение в плоском зеркале
107,"Задачи о поступательном движении источников и плоских зеркал; Задачи о вращательном движении источников и зеркал; Отражение в нескольких зеркалах, расположенных параллельно; Отражение в нескольких зеркалах, расположенных перпендикулярно; Область видимости изображений;"
108,"Отражение в нескольких зеркалах, расположенных под углом друг к другу; Слепая зона (откуда больше нет последующих изображений)"
109,Сферическое зеркало; Параксиальное приближеие; Мнимое и действительное изображения; Фокус сферического зеркала; Выпуклое и вогнутое сферическое зеркало; Формула сферического зеркала; Построение в сферических зеркалах; Формула сферического зеркала
110,Закон преломления лучей; Скорость света в среде; Преломление лучей на одной/нескольких параллельных границах раздела сред; Преломление в плоскопараллельной пластине; Формирование изображений точечного истояника плоскопараллельной пластиной
111,Дисперсия показателя преломления; Преломление в призме с малым преломляющим углом; Преломление в призме с большим преломляющим углом; Преломление и отражение в призмах
112,Полное внутреннее отражение; Предельный угол полного отражения; Оптоволокно
113,"Преломление на сферической поверхности; Параксиальное приближение; Формирование изображения сферической поверхностью, формула преломления на сферической поверхности; Задачи о сплошном прозрачном шаре"
114,"Формула линзы; Тонкие линзы в среде; Толстые линзы, разбиение на плоскопараллельную пластину и тонкие линзы; Варианты формул тонкой линзы (например, формула Ньютона)"
115,Тонкая линза; Построение изображений в тонкой линзе; Задачи на прямое построение в линзах; Области видимости в линзе
116,Задачи на обратное построение в линзах
117,Формула тонкой линзы- расчетные задачи; Оптическая сила линзы; Угловые и линейные размеры изображения объектов; Увеличение изображения (продольное и поперечное)
118,Движение объектов в линзах и движение линз
119,"Оптические системы (несколько линз, линза + зеркало, линза плоскопараллельная пластина)"
120,Работа оптических приборов; Глаз как оптическая система. Близорукость и дальнозоркость. ; Очки; Качественные характеристики изображения; Аберации; Микроскоп; Телескоп-рефлектор; Телескоп-рефрактор; Фотоаппарат; Диафрагма; Базовые настройки фотоаппарата; Разрешающая способность с точки зрения геометрической оптики;
121,"Задачи на распространения света в слоистых средах (плоскопараллельный и сферический случай); Рассмотрение задач через закон преомления, принцип Ферма, поворот волнового фронта"
122,Принцип Ферма в оптических задачах; Механико-оптические аналогии
