номер,тема
37,Расстановка сил в системах с действиями сил под углами; Угол в 30 градусов в статических задачах
38,Центр тяжести систем точечных объектов; Центр тяжести систем однородных стержней; Центр тяжести плоских прямоугольных фигур
39,Центр тяжести плоского треугольника и плоских многоугольников; Центр тяжести фигур с вырезами
40,Давление твердых тел
41,"Гидростатическое давление; Зависимость гидростатического давления жидкости от глубины погружения. Давление в жидкости (с учётом внешнего давления). Столб Торичелли; Поиск давлений жидкости на разной глубине в сосудах, заполненных однородной жидкостью; Поиск давлений в системах трубок полостями и воздушными пробками; Давление в жидкостях с градиентом плотности"
42,Закон Паскаля; Задачи о давлении на дно сосудов конических форм; Расчет сил давления через среднее давление; Расчет сил давление через проекцию площади на плоскость перпендикулярную направлению расчета силы
43,Сообщающиеся сосуды; Изменение уровней в сообщающихся сосудах; П-образные перемычки в сообщающихся сосудах; Сифон
44,Наклонные перемычки в сообщающихся сосудах; Воздушные пробки в сообщающихся сосудах; Две перемычки в сообщающихся сосудах
45,"Гидравлический пресс; Гидравлические машины; Сохранение объема (несжимаемость жидкости); Силы давления на поршни; Качественные задачи о сжатии воздуха; Пневматические машины; Трение, пружины и рычаги в задачах с поршнями"
46,Изменение уровня жидкости в одном сосуде; Изменение уровня жидкости в связанных сосудах
47,Действие жидкости и газа на погруженное в них тело; Выталкивающая (архимедова) сила; Закон Архимеда; Плавание тел; Воздухоплавание; Простейшие задачи на применение формулы для силы Архимеда; Плавание неоднородных (составных или с полостями) тел; Пограничное плавание; Плавание в неоднородной жидкости и в системе несмешивающихся жидкостей; 
48,Сила Архимеда при отсутствии подтекания вдоль одной грани тела; Давление твердых тел в жидкости на дно в случае неподтекания; Условие начала подтекания в симметричных случаях; Поиск сил давления жидкости на некоторую поверхность через ее массу
49,Применение уравнения моментов в гидростатических задачах; Условие начала подтекания в несимметричных случаях; Задачи о распределении силы давления на дно сосуда; Эквивалентная замена подвешенной на рычаг в двух точках цепочки
50,Точка приложения силы Архимеда; Устойчивость плавания
51,Тепловое расширение в задачах 7 класса и другие уникальные задачи
52,"Механическая работа для сил, направленных вдоль перемещения материальной точки; Постоянная и переменная силы; Средняя сила; Связь изменения кинетической энергии и работы; Вычисление работы через площадь под графиком зависимости силы от перемещения"
53,Потенциальная энергия пружины; Потенциальная энергия в поле тяжести Земли; Работа силы трения; потенциальная энергия шнуров/цепочек
,"Мощность; Вычисление работы через площадь под графиком мощности от времени; Формула для мощности силы; КПД; ЗСЭ; КПД в механических системах; Простые механизмы: рычаг, ворот, блок, полиспаст, наклонная плоскость, ножничный механизм; «Золотое правило» механики; КПД простых механизмов; "
,ЗСЭ для расчета сил в различных механических системах; Метод виртуальных перемещений. Шарниры.; Силы натяжения в цепях и веревках
